Name,Cusine,Coordinates,Address,Address(Full)
Nodo Restaurant,Italian,"(43.6652814, -79.4655765266667)",2885 Dundas Street West,"2885, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Quantum Coffee,Coffee & Tea,"(43.6456708, -79.3954245503329)",460 King Street W,"460, King Street West, Fashion District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1L8, Canada"
Loose Moose,Sports Bars; Gastropubs; Canadian (New),"(43.6451506, -79.3838917)",146 Front Street West,"The Loose Moose Tap & Grill, 146, Front Street West, Financial District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2L6, Canada"
Fabarnak Community Cafe and Catering,Cafes; Caterers,"(43.6665184, -79.3809081949956)",519 Church Street,"The 519 Community Centre, 519, Church Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2C9, Canada"
Copacabana Brazilian Steak House,Brazilian; Steakhouses,"(43.707784, -79.394165)",150 Eglinton Avenue E,"Holly’s, 150, Eglinton Avenue East, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 1A9, Canada"
Lahore Tikka House,Halal; Pakistani,"(43.6714936, -79.3248109)",1365 Gerrard Street E,"1365, Gerrard Street East, Gerrard India Bazaar, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4L 3B2, Canada"
Little India Restaurant,Indian; Buffets,"(43.650225, -79.388925)",255 Queen Street W,"Little India, 255, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Rudy,Burgers; Fast Food; Sandwiches,"(43.6550104, -79.4144004)",619 College Street,"Rudy, 619, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B5, Canada"
Mothers Dumplings,Chinese,"(43.657053, -79.3994037)",421 Spadina Avenue,"Mother's Dumplings, 421, Spadina Avenue, Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2G6, Canada"
Gyu-Kaku Japanese BBQ,Japanese; Barbeque; Asian Fusion,"(43.6516199, -79.3749039)",81 Church Street,"Gyu-Kaku Japanese BBQ, 81, Church Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2G2, Canada"
Onnki Donburi,Japanese,"(43.66994, -79.384202)",40 Hayden Street,"40, Hayden Street, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, 491 M4Y 2C6, Canada"
"Ay Caramba, Eh",Mexican; Latin American,"(43.8281075444444, -79.5473875877778)",65-3540 Rutherford Road,"3540, Rutherford Road, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 3T8, Canada"
Subway,Fast Food; Sandwiches,"(43.6788801, -79.3444628)",671 Danforth Avenue,"671, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1N8, Canada"
Salad House,Salad,"(43.2273355, -79.8794596)",13 Hayden Street,"13, Hayden Street, Hamilton Mountain, Hamilton, Ontario, L9A 2N5, Canada"
Simones Caribbean Restaurant,Caribbean,"(46.50961435, -80.9352327388633)",596 Danforth Avenue,"596, Danforth Avenue, Sudbury, Greater Sudbury, Ontario, P3A 1A6, Canada"
Café Boulud,Cafes; Desserts; French,"(43.6721033, -79.3893669392905)",Located in Four Seasons Toronto,"Four Seasons, Four Seasons driveway, Yorkville Plaza, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 0B4, Canada"
Sala Modern Thai Kitchen & Bar,Thai; Asian Fusion,"(43.6819742090909, -79.3307428363636)",1262 Danforth Avenue,"1262, Danforth Avenue, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4J 1M6, Canada"
Akira Back,Japanese; Korean; Asian Fusion,"(43.6455903548387, -79.3922609677419)",80 Blue Jays Way,"80, Blue Jays Way, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1K2, Canada"
Grey Gardens,Wine Bars; Canadian (New),"(43.6537875473684, -79.40155265)",199 Augusta Avenue,"199, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1H5, Canada"
Cocktail Bar,Bars,"(43.6507051, -79.4132676)",923 Dundas St W,"Hoof Cocktail Bar, 923, Dundas Street West, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1W3, Canada"
Campechano Taquería,Mexican,"(43.645773, -79.400835)",504 Adelaide Street W,"504, Adelaide Street West, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2J6, Canada"
de Mello Palheta,Coffee & Tea; Bakeries; Desserts,"(43.712057, -79.3992769)",2489 Yonge Street,"Squint, 2489, Yonge Street, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada"
Boxcar Social,Wine Bars; Coffee & Tea,"(43.681631, -79.391657)",1208 Yonge Street,"Pacific Cleaners, 1208, Yonge Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 1W2, Canada"
Supernova Ballroom,Cocktail Bars,"(43.6501179, -79.3810438)",330 Bay Street,"Turf Lounge, 330, Bay Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Farmr Eatery & Catering,Canadian (New); Gluten-Free; Vegetarian,"(43.6485714, -79.3701379)",140 The Esplanade,"140 The Esplanade, 140, The Esplanade, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 4A5, Canada"
Gio Ranas Really Really Nice Restaurant,Italian; Tapas/Small Plates,"(43.6633268, -79.3304373)",1220 Queen Street East,"1220, Queen Street East, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1L4, Canada"
Cest What,Breweries; Music Venues; Canadian (New),"(43.6484394, -79.3734464)",67 Front Street E,"C'est What?, 67, Front Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2B1, Canada"
Himalayan Kitchen,Indian; Himalayan/Nepalese,"(43.6402668, -79.4388957)",1526 Queen Street W,"Himalayan Kitchen, 1526, Queen Street West, Parkdale, Roncesvalles, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6R 1A1, Canada"
Beach Hill Smokehouse,Barbeque; Desserts; Sandwiches,"(43.6770652444444, -79.7478156111111)",172 Main Street S,"172, Main Street South, Ridgehill, Brampton, Peel Region, Golden Horseshoe, Ontario, L6W 2E1, Canada"
Real Sports,Sports Bars; Canadian (New),"(43.6424403, -79.3806144)",15 York Street,"LCBO, 15, York Street, Harbourfront, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 0A3, Canada"
Aunties & Uncles,Breakfast & Brunch,"(43.6570434, -79.4067779)",74 Lippincott Street,"74, Lippincott Street, Harbord Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1A4, Canada"
Zezafoun Syrian Cuisine,Syrian; Middle Eastern; Arabian,"(43.702681, -79.397096)",4 Manor Road E,"saladishes, 4, Manor Road East, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4S 1P3, Canada"
Raijin Ramen,Ramen; Noodles; Soup,"(43.664782, -79.385776)",24 Wellesley Street W,"Rabba, 24, Wellesley Street West, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1E7, Canada"
Adega Restaurante,Portuguese; Spanish,"(43.6573005, -79.3835731)",33 Elm St,"Adega, 33, Elm Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1H1, Canada"
Tashi Delek Cafe,Himalayan/Nepalese; Cafes,"(43.640388, -79.4372262)",223 Jameson Avenue,"Jameson Avenue, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M3, Canada"
Buddhas Vegan Foods,Vegetarian; Chinese; Vegan,"(43.6519309, -79.4035047)",666 Dundas Street W,"Buddha's vegetarian, 666, Dundas Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2W6, Canada"
Avenue Open Kitchen,Diners; Delis; Sandwiches,"(43.2210363, -79.8490249333333)",7 Camden Street,"7, Camden Street, Berrisfield, Hamilton, Ontario, L8V 4L7, Canada"
ImPerfect Fresh Eats,Salad; Juice Bars & Smoothies; Acai Bowls,"(43.6476216, -79.3918799)",318 Adelaide Street W,"Pita Pit, 318, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Big Trouble Pizza,Pizza,"(43.6513409, -79.3970085)",235 Spadina Avenue,"Big Trouble Pizza, 235, Spadina Avenue, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2C7, Canada"
Wafels & More,Breakfast & Brunch; Waffles; Belgian,"(43.65470702, -79.4019225)",237 Augusta Avenue,"237, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2L6, Canada"
Kitten and the Bear,Coffee & Tea; Specialty Food,"(43.6497077, -79.4292366)",1414 Dundas Street W,"Kitten & The Bear, 1414, Dundas Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 2B1, Canada"
Balzacs Distillery District,Coffee & Tea; Venues & Event Spaces; Coffee Roasteries,"(43.6497558, -79.3591233)",1 Trinity Street,"Balzac's Coffee, 1, Trinity Street, Distillery District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3C4, Canada"
Patois Toronto,Chinese; Asian Fusion; Caribbean,"(43.6519848, -79.4081894)",794 Dundas Street W,"Patois, 794, Dundas Street West, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1V1, Canada"
Mon K Patisserie,Coffee & Tea; Bakeries,"(43.6968529304348, -79.329309073913)",1040 Coxwell Avenue,"1040, Coxwell Avenue, Olde East York Village, East York, Toronto—Danforth, East York, Toronto, Golden Horseshoe, Ontario, M4C 2Z7, Canada"
Momo Hut & Gardens,Himalayan/Nepalese,"(43.6774003, -79.3514655)",401 Danforth Avenue,"Avli Restaurant, 401, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1P1, Canada"
7 West Cafe,Italian; Breakfast & Brunch; Bars,"(43.6685152, -79.386693)",7 Charles Street W,"7 West, 7, Charles Street West, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 2B7, Canada"
Bean and Baker Malt Shop,Ice Cream & Frozen Yogurt; Coffee & Tea; Patisserie/Cake Shop,"(43.6600927, -79.4173757)",326 Harbord Street,"Bean and Baker Malt Shop, 326, Harbord Street, Harbord Village, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1G7, Canada"
Queen Mother Cafe,Asian Fusion; Thai,"(43.6504059, -79.3891298)",208 Queen Street W,"Queen Mother Cafe, 208, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Mamakas Taverna,Greek; Mediterranean,"(45.39006725, -75.6854038748072)",80 Ossington Avenue,"80, Ossington Avenue, Rideau Gardens, Old Ottawa South, Capital, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1S 0X5, Canada"
Good Hombres,Mexican,"(43.6531440412509, -79.4065457169265)",374 Bathurst Street,"374, Bathurst Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2S3, Canada"
Ricardas Toronto,Mediterranean; Italian; Breakfast & Brunch,"(43.648449, -79.393414)",134 Peter St,"134, Peter Street, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2A5, Canada"
Sakawa Coffee & Japanese Restaurant,Japanese,"(43.6798023, -79.3396832)",867 Danforth Ave,"Sakawa Coffee, 867, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4J 1L7, Canada"
Mezes,Greek; Mediterranean,"(43.67810635, -79.3502382692308)",456 Danforth Avenue,"Mezes, 456, Danforth Avenue, Greektown, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4K 1P3, Canada"
Porchetta & Co,Sandwiches,"(43.2610678, -79.884608)",545 King Street W,"545, King Street West, Hess Village, Hamilton, Ontario, L8P 4W3, Canada"
NEO COFFEE BAR,Coffee & Tea; Bakeries,"(43.6506783, -79.3691506)",161 Frederick St,"Neo Coffee Bar, 161, Frederick Street, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 3Z4, Canada"
Olive + Lemon,Seafood; Italian; Pizza,"(43.8452512623755, -79.5570956086677)",3604 Major MacKenzie Dr W,"3604, Major MacKenzie Drive West, Vellore, Maple, Vaughan, York Region, Golden Horseshoe, Ontario, L4H 0A2, Canada"
Mother India,Indian,"(43.6408104533333, -79.43629654)",1456 Queen Street W,"1456, Queen Street West, Parkdale, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1M1, Canada"
Town Crier Pub,Pubs; German,"(43.6480949, -79.3901482)",115 John St,"Town Crier Pub The Halfway Beer House, 115, John Street, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Fusaros Kitchen,Italian; Pizza,"(45.40141345, -75.7187636454039)",147 Spadina Avenue,"147, Spadina Avenue, Civic Hospital, Hintonburg, Kitchissippi, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1Y 3P7, Canada"
Dukes Refresher + Bar,Burgers; American (Traditional); Beer Bar,"(43.6590065, -79.3833435)",382 Yonge Street,"Duke's Refresher + Bar, 382, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1S8, Canada"
Our Spot,Breakfast & Brunch; Coffee & Tea,"(44.0205775, -77.7171112)",180 Baldwin Street,"180, Baldwin Street, Brighton, Northumberland County, Central Ontario, Ontario, K0K 1H0, Canada"
Fat Pasha,Middle Eastern,"(43.6738788, -79.4117405417354)",414 Dupont Street,"Fat Pasha, 414, Dupont Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1V9, Canada"
Maker Pizza,Pizza,"(43.6504006, -79.3980621)",59 Cameron Street,"Maker Pizza, 59, Cameron Street, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2H1, Canada"
Fudao noodle house,Chinese; Noodles; Fast Food,"(46.5331425, -84.3840401)",358 Spadina ave,"358, Spadina Avenue, Brookfield, Sault Ste. Marie, Algoma District, Northeastern Ontario, Ontario, P6C 2K8, Canada"
Dark Horse Espresso,Coffee & Tea,"(43.6506474, -79.396862)",215 Spadina Avenue,"Dark Horse Espresso Bar, 215, Spadina Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2C7, Canada"
Bitondos Pizzeria,Pizza; Italian,"(43.6540786, -79.4132959)",11 Clinton Street,"11, Clinton Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2N8, Canada"
La Vecchia Ristorante,Italian; Seafood; Venues & Event Spaces,"(43.7101795483871, -79.3989329967742)",2405A Yonge Street,"2405, Yonge Street, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada"
Terroni,Italian; Pizza,"(43.6462666, -79.4091549)",720 Queen Street W,"Terroni, 720, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Prohibition Gastrohouse - Queen,Bars; American (Traditional),"(43.6588742, -79.3504058)",696 Queen Street E,"696, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2H5, Canada"
The Shameful Tiki Room,Tiki Bars,"(43.6487476, -79.3963638)",1378 Queen W,"Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B1, Canada"
Piedmont Coffee Bar,Coffee & Tea,"(43.66835, -79.382588)",66 Isabella Street,"Piedmont Coffee Bar, 66, Isabella Street, Church-Wellesley Village, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4Y 1N3, Canada"
Wandas Pie In The Sky,Bakeries; Desserts; Coffee & Tea,"(43.6562415, -79.4025734)",287 Augusta Avenue,"287, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2M2, Canada"
Canis,Canadian (New); Wine Bars,"(43.6460701, -79.4101121)",746 Queen Street W,"Canis, 746, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Kevins Taiyaki,Specialty Food; Asian Fusion; Japanese,"(43.6006487, -79.6104486)",675 Bloor Street,"675, Bloor Street, Mississauga Valley, Lakeview, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5A 1Z3, Canada"
Light Cafe,Cafes,"(43.9526137, -78.302606)",23 Baldwin Street,"23, Baldwin Street, Port Hope, Northumberland County, Central Ontario, Ontario, L1A 1V1, Canada"
Banh Mi Boys,Vietnamese; Asian Fusion,"(43.7091373, -79.3986676)",2365 Yonge Street,"Banh Mi Boys Sandwich Shop, 2365, Yonge Street, Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2C9, Canada"
Reposado Bar & Lounge,Tapas/Small Plates; Music Venues; Cocktail Bars,"(45.389128, -75.687639128253)",136 Ossington Avenue,"136, Ossington Avenue, Rideau Gardens, Old Ottawa South, Capital, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1S 0X5, Canada"
Pomegranate Restaurant,Middle Eastern; Persian/Iranian,"(43.6567907, -79.4069206)",420 College Street,"Pomegranate, 420, College Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1T3, Canada"
Lai Wah Heen,Dim Sum,"(43.6546682, -79.3860966143021)",Located in DoubleTree by Hilton Hotel Toronto Downtown,"Double Tree by Hilton Hotel, 108, Chestnut Street, First Chinatown, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1R3, Canada"
Hothouse,Italian; Bars; Venues & Event Spaces,"(43.6488188, -79.3736883)",35 Church Street,"Hot House Restaurant & Bar, 35, Church Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1T3, Canada"
Graffiti Alley,Public Art,"(43.648104, -79.3988605)",513 Queen Street W,"513, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2B4, Canada"
Pizzeria Via Mercanti,Pizza; Italian,"(43.6540595, -79.4019561)",188 Augusta Avenue,"Pizzeria Via Mercanti, 188, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1M1, Canada"
Gregs Ice Cream,Ice Cream & Frozen Yogurt,"(43.6663836, -79.4040021)",750 Spadina Avenue,"Al Green Theatre, 750, Spadina Avenue, The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 2J8, Canada"
Sushi & BBbop,Sushi Bars; Korean; Japanese,"(43.659191, -79.3824692)",384 Yonge Street,"Midtown Reds Tavern, 384, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2K2, Canada"
Piano Piano,Italian; Pizza,"(43.6636118, -79.3994882)",88 Harbord Street,"Harbord Street, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5S 1A5, Canada"
Foxley Bistro and Bar,Asian Fusion; Tapas Bars,"(43.6486209, -79.4203243)",207 Ossington Avenue,"Foxley, 207, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z5, Canada"
Black Canary Espresso Bar,Coffee & Tea,"(43.6569851, -79.381012)",329 Yonge Street,"Five Guys, 329, Yonge Street, Downtown Yonge, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1R7, Canada"
Busters Sea Cove,Seafood,"(43.649213, -79.371735)",93 Front Street E,"93, Front Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1C2, Canada"
Dirty Food Eatery,Breakfast & Brunch; Comfort Food,"(43.6656161, -79.4719662)",3070 Dundas Street W,"Natureal, 3070, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, York, Toronto, Golden Horseshoe, Ontario, Canada"
Frankies,Breakfast & Brunch; Diners,"(43.6443841, -79.4184061)",994 Queen Street W,"Frankie's Diner, 994, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H1, Canada"
Mos Mos,Cafes; Coffee & Tea,"(43.6483733, -79.3791523)",25 King Street W,"CIBC, 25, King Street West, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Kit Kat Italian Bar & Grill,Italian; Mediterranean,"(43.6463518, -79.3901402)",297 King Street W,"Kit Kat Italian Bar & Grill, 297, King Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J5, Canada"
Dessert Lady Café,Bakeries; Desserts,"(43.6710149, -79.3879678)",12 Cumberland St,"12, Cumberland Street, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 2G4, Canada"
Evviva Breakfast & Lunch - Downtown Toronto,Breakfast & Brunch,"(43.6415411, -79.3833149)",25 Lower Simcoe,"Evviva, 25, Lower Simcoe Street, Harbourfront, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3L9, Canada"
Rooster Coffee House,Coffee & Tea; Sandwiches,"(43.6517827, -79.3653704)",343 King Street E,"Rooster Coffee House, 343, King Street East, Trefann Court, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1L1, Canada"
Sud Forno,Italian; Bakeries; Sandwiches,"(43.6462928, -79.4090188)",716 Queen Street W,"Sud Forno, 716, Queen Street West, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1E4, Canada"
Utopia Café & Grill,Tex-Mex; Burgers,"(43.6554176, -79.4134955)",586 College St,"Utopia, 586, College Street, College Square, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B3, Canada"
Gushi Japanese Street Food,Street Vendors; Japanese,"(43.6517943, -79.4048971)",707 Dundas Street W,"Scadding Court Community Centre, 707, Dundas Street West, Alexandra Park, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2W6, Canada"
Lee Chen Asian Bistro,Dim Sum; Asian Fusion,"(43.6473875, -79.3866475)",214 King Street W,"Il Fornello, 214, King Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
Ozzys Burgers,Burgers; Sandwiches; Fast Food,"(43.6553057, -79.4026124)",66 Nassau St,"66, Nassau Street, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2M2, Canada"
Chicas Nashville Hot Chicken,Chicken Shop; Southern,"(43.6652698, -79.4642439)",2853 Dundas Street W,"2853, Dundas Street West, Little Malta, The Junction, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
The Lockhart,Bars,"(43.6495092428571, -79.4311383428572)",1479 Dundas Street W,"1479, Dundas Street West, Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 2B1, Canada"
Holy Chuck,Burgers,"(43.6875909, -79.3941071)",1450 Yonge Street,"Holy Chuck, 1450, Yonge Street, Deer Park, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 1Y7, Canada"
Souk Tabule,Middle Eastern; Salad; Soup,"(43.6536182, -79.3542344)",494 Front Street E,"494, Front Street East, Canary District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 0J1, Canada"
Khmer Thai Restaurant,Thai; Cambodian,"(43.679296, -79.4377691)",1018 St Clair Avenue W,"Khmer Thai, 1018, St. Clair Avenue West, Corso Italia, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6E 1A3, Canada"
JOEY Yorkdale,Canadian (New); Lounges,"(43.7256596, -79.452229187644)",305 - B 3401 Dufferin St,"Yorkdale Shopping Centre, 3401, Dufferin Street, Lawrence Heights, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6G 3A1, Canada"
Pinkys Ca Phe,Vietnamese,"(43.6557231966842, -79.413821129182)",53 Clinton Street,"53, Clinton Street, Little Italy, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1B3, Canada"
Trinity Bellwoods Park,Parks,"(43.6463211, -79.4149311517555)",155 Crawford Street,"Trinity Community Recreation Centre, 155, Crawford Street, West Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1G6, Canada"
Bonjour Brioche,Breakfast & Brunch; French,"(43.6690047, -79.3064618)",812 Queen Street E,"Bonjour Brioche, 812, Queen Street East, The Beaches, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H7, Canada"
Te Aro,Coffee & Tea; Cafes,"(43.6612327, -79.3384847)",983 Queen Street E,"Te Aro, 983, Queen Street East, Leslieville, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 3P3, Canada"
Carousel Bakery,Sandwiches; Bakeries,"(43.649213, -79.371735)",93 Front Street E,"93, Front Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1C2, Canada"
Luma,Canadian (New); Lounges,"(43.6467198, -79.3905334)",350 King Street W,"TIFF Bell Lightbox, 350, King Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1J5, Canada"
Ill Be Seeing You,Cocktail Bars; Comfort Food,"(43.659131, -79.3480803)",747 Queen Street E,"I'll be seeing you..., 747, Queen Street East, Riverdale, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 1H4, Canada"
Nu Bügel,Bagels,"(43.6554432, -79.40257)",240 Augusta Avenue,"NU Bügel, 240, Augusta Avenue, Kensington Market, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2M1, Canada"
The Shore Club - Toronto,Seafood; Steakhouses; Cocktail Bars,"(43.6455702, -79.3859319)",155 Wellington Street W,"McKinsey & Company PriceMetrix, 155, Wellington Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3H6, Canada"
Restaurant La Banane,French; Seafood; Bistros,"(43.6490277, -79.4204846)",227 Ossington Avenue,"La Banane, 227, Ossington Avenue, Ossington Strip, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z8, Canada"
